City,State,Tier,Skill,Skill_Key,City_Key,Rate_Type,Rate_Mode,Unit,Currency,Local_Hourly_Min_INR,Local_Hourly_Max_INR,Local_Day_Min_INR,Local_Day_Max_INR,Platform_Cost_Min_INR,Platform_Cost_Max_INR,Platform_Cost_Basis,Effective_From,Effective_To,Is_Active,Source,Confidence
Mumbai,Maharashtra,Tier 1,Painter,painter,mumbai,mixed,daily,day,INR,150,175,1200,1400,1800,2800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Plumber,plumber,mumbai,mixed,daily,day,INR,175,225,1400,1800,3000,5000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Electrician,electrician,mumbai,mixed,daily,day,INR,175,230,1400,1840,3000,5000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Carpenter,carpenter,mumbai,mixed,daily,day,INR,160,210,1280,1680,2500,4500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Mason / Bricklayer,mason,mumbai,mixed,daily,day,INR,155,200,1240,1600,2000,3500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Tiler,tiler,mumbai,mixed,daily,day,INR,145,185,1160,1480,1800,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Welder,welder,mumbai,mixed,daily,day,INR,165,215,1320,1720,2000,3200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,AC Technician,ac_technician,mumbai,mixed,daily,day,INR,200,275,1600,2200,4000,7000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Deep Cleaning / Housekeeping,deep_cleaning,mumbai,mixed,daily,day,INR,120,155,960,1240,2800,5500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Pest Control,pest_control,mumbai,per_visit,per_visit,visit,INR,,,1200,2000,1800,4000,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Handyman / General Helper,handyman,mumbai,mixed,daily,day,INR,100,130,800,1040,1500,2500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Waterproofing Specialist,waterproofing,mumbai,mixed,daily,day,INR,175,225,1400,1800,2500,4000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,False Ceiling Specialist,false_ceiling,mumbai,mixed,daily,day,INR,175,230,1400,1840,2500,4200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Interior Designer (Basic),interior_designer,mumbai,mixed,daily,day,INR,400,600,3200,4800,5000,10000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Roofer,roofer,mumbai,mixed,daily,day,INR,155,200,1240,1600,2000,3500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Flooring Specialist,flooring,mumbai,mixed,daily,day,INR,148,192,1184,1536,1900,3200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Furniture Assembler / Carpenter,furniture_assembler,mumbai,mixed,daily,day,INR,148,192,1184,1536,1800,3200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Geyser / Water Heater Repair,geyser_repair,mumbai,per_visit,per_visit,visit,INR,,,450,650,799,1499,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,RO / Water Purifier Service,ro_service,mumbai,per_visit,per_visit,visit,INR,,,350,550,499,999,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Washing Machine Repair,washing_machine_repair,mumbai,per_visit,per_visit,visit,INR,,,500,750,799,1599,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,TV / Electronics Repair,tv_repair,mumbai,per_visit,per_visit,visit,INR,,,400,650,599,1299,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Mobile Phone Repair,mobile_repair,mumbai,per_visit,per_visit,visit,INR,,,350,600,499,999,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Computer / Laptop Repair,computer_repair,mumbai,per_visit,per_visit,visit,INR,,,400,700,599,1299,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Sofa / Upholstery Cleaning,sofa_cleaning,mumbai,per_visit,per_visit,visit,INR,,,800,1400,1500,3000,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Landscaping / Gardener,landscaping,mumbai,mixed,daily,day,INR,88,118,700,944,1200,2200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Security Guard,security_guard,mumbai,mixed,daily,day,INR,82,105,820,1050,1500,2500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Driver / Chauffeur,driver,mumbai,mixed,daily,day,INR,125,165,1250,1650,2000,3500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Packers & Movers,packers_movers,mumbai,per_visit,per_visit,visit,INR,,,3500,6000,5000,12000,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Construction Labour / Demolition,construction_labour,mumbai,mixed,daily,day,INR,110,145,880,1160,1400,2400,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Mumbai,Maharashtra,Tier 1,Other,other,mumbai,mixed,daily,day,INR,130,170,1040,1360,1800,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Painter,painter,delhi,mixed,daily,day,INR,130,160,1050,1300,1700,2600,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Plumber,plumber,delhi,mixed,daily,day,INR,160,210,1280,1680,2800,4800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Electrician,electrician,delhi,mixed,daily,day,INR,165,215,1320,1720,2800,4800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Carpenter,carpenter,delhi,mixed,daily,day,INR,155,200,1240,1600,2400,4200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
